Line,Time,Remark
1,2022_04_22 13:42:17.163373,OF53898155,ENE,Address43 Part:,EB 43
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=4.0, GROUND=HYDRANT, MSPLATE=83P, HARMONIC=40.3, V NON-SHUNT=61.9, STATUS=CREW WAITING"
2,2022_04_22 14:37:42.363373,"OF53898155: Comment: SURVEY CONDUCTED, REPORTS 14BQ"
3,2022_04_22 15:32:15.363373,OF53898155: Comment: ELECTRICIAN RELEASED AT 9:26HRS
4,2022_04_22 15:43:45.963373,OF53898155: Comment: FROM 69I TO 11D
5,2022_04_22 17:34:13.563373,OF53898155: Comment: CONTACT S&R
6,2022_04_22 19:31:24.363373,OF53898155: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
7,2022_04_22 20:54:56.763373,OF53898155: Comment: 32.1 VOLTS
8,2022_04_22 23:47:12.363373,OF53898155: Comment: FLUSH NEEDED
9,2022_04_23 01:56:53.163373,OF53898155: Comment: 4.5 VOLTS REMAINING
10,2022_04_23 04:21:16.563373,OF53898155: Comment: 9% HARMONICS
11,2022_04_23 06:08:40.563373,OF53898155: Comment: BFS REQUIRED ON SITE
