Line,Time,Remark
1,2022_04_22 20:33:21.334286,OF47285761,ENE,Address3 Part:,OF 3
,,"STRUCTURE=STREET LIGHT, VOLTAGE=15.5, GROUND=OFTAL CURB, MSPLATE=39GJ, HARMONIC=47.1, V NON-SHUNT=27.4, STATUS=CREW WAITING"
2,2022_04_22 23:30:34.534286,OF47285761: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_23 02:01:28.534286,OF47285761: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_23 04:03:10.534286,OF47285761: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 06:53:21.334286,OF47285761: Comment: FROM 01B TO 81TY
6,2022_04_23 07:51:14.734286,OF47285761: Comment: 9.6 VOLTS REMAINING
7,2022_04_23 09:06:57.334286,OF47285761: Comment: LOAD TEST SUCCEEDED AT 7:28HRS
8,2022_04_23 09:17:15.334286,OF47285761: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 10:34:06.934286,"OF47285761: Comment: SURVEY CONDUCTED, REPORTS 36BQ"
10,2022_04_23 12:19:29.134286,OF47285761: Comment: 44.1 VOLTS
11,2022_04_23 12:41:40.534286,OF47285761: Comment: EXPECTED SCAFFOLDING GOT SCAFFOLDING
12,2022_04_23 13:48:15.934286,OF47285761: Comment: FLUSH NEEDED
