Line,Time,Remark
1,2022_04_23 02:44:03.450934,TM30468182,ENE,Address175 Part:,RL 175
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=24.6, GROUND=OFTAL CURB, MSPLATE=03LY, HARMONIC=31.4, V NON-SHUNT=95.4, STATUS=CREW WAITING"
2,2022_04_23 03:30:16.050934,TM30468182: Comment: BFS REQUIRED ON SITE
3,2022_04_23 05:05:37.650934,TM30468182: Comment: EXPECTED MANHOLE COVER GOT GAS CAP
4,2022_04_23 07:45:00.450934,TM30468182: Comment: FROM 93DM TO 92VS
5,2022_04_23 08:11:53.250934,TM30468182: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_23 08:41:44.850934,TM30468182: Comment: CREW NOTIFIED
7,2022_04_23 09:46:43.650934,TM30468182: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
8,2022_04_23 10:33:49.650934,TM30468182: Comment: CONTACT S&R
9,2022_04_23 13:15:55.650934,TM30468182: Comment: ELECTRICIAN RELEASED AT 8:58HRS
10,2022_04_23 14:45:28.050934,TM30468182: Comment: LOAD TEST SUCCEEDED AT 7:45HRS
11,2022_04_23 16:18:56.850934,TM30468182: Comment: ADDITIONAL ASSISTANCE NEEDED
12,2022_04_23 16:57:20.250934,TM30468182: Comment: FLUSH NEEDED
13,2022_04_23 18:57:34.650934,TM30468182: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
14,2022_04_23 19:21:10.050934,TM30468182: Comment: 8.1 VOLTS REMAINING
15,2022_04_23 21:35:59.250934,TM30468182: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
