Line,Time,Remark
1,2022_04_23 00:11:27.454537,OF04206245,ENE,Address180 Part:,OF 180
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=10.4, GROUND=OFTAL CURB, MSPLATE=10D, HARMONIC=21.2, V NON-SHUNT=61.6, STATUS=CREW WAITING"
2,2022_04_23 02:54:17.254537,OF04206245: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_23 03:45:11.254537,OF04206245: Comment: ELECTRICIAN RELEASED AT 10:14HRS
4,2022_04_23 04:57:22.654537,OF04206245: Comment: CREW NOTIFIED
5,2022_04_23 06:21:12.454537,OF04206245: Comment: 16.3 VOLTS
6,2022_04_23 07:20:46.654537,"OF04206245: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
7,2022_04_23 08:28:08.254537,OF04206245: Comment: LOAD TEST SUCCEEDED AT 3:60HRS
8,2022_04_23 09:01:53.254537,OF04206245: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
9,2022_04_23 10:03:37.054537,"OF04206245: Comment: SURVEY CONDUCTED, REPORTS 52BQ"
10,2022_04_23 11:17:17.254537,OF04206245: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
11,2022_04_23 12:20:58.654537,OF04206245: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
12,2022_04_23 14:51:28.654537,OF04206245: Comment: 4.6 VOLTS REMAINING
13,2022_04_23 16:34:02.854537,OF04206245: Comment: CONTACT S&R
14,2022_04_23 17:14:44.854537,OF04206245: Comment: ADDITIONAL ASSISTANCE NEEDED
15,2022_04_23 18:47:34.654537,OF04206245: Comment: FROM 58TQ TO 00JK
