Line,Time,Remark
1,2022_04_22 18:41:42.957287,HD31399125,ENE,Address35 Part:,EB 35
,,"STRUCTURE=STREET LIGHT, VOLTAGE=68.6, GROUND=HDTAL FENCE, MSPLATE=36MR, HARMONIC=11.5, V NON-SHUNT=81.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:53:56.157287,HD31399125: Comment: CREW NOTIFIED
3,2022_04_22 20:16:05.157287,HD31399125: Comment: 8% HARMONICS
4,2022_04_22 21:09:21.957287,HD31399125: Comment: BFS REQUIRED ON SITE
5,2022_04_22 23:25:28.557287,HD31399125: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
6,2022_04_23 00:18:05.157287,HD31399125: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_23 03:02:47.757287,HD31399125: Comment: EXPECTED STORM DRAIN GOT SERVICE BOX
8,2022_04_23 05:04:07.557287,HD31399125: Comment: 9.9 VOLTS REMAINING
9,2022_04_23 06:07:10.557287,HD31399125: Comment: ELECTRICIAN RELEASED AT 3:48HRS
10,2022_04_23 07:47:27.357287,"HD31399125: Comment: SURVEY CONDUCTED, REPORTS 48BQ"
11,2022_04_23 10:33:13.557287,HD31399125: Comment: FLUSH NEEDED
12,2022_04_23 11:15:04.557287,HD31399125: Comment: FROM 23MJ TO 59LH
13,2022_04_23 12:16:09.357287,HD31399125: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
