Line,Time,Remark
1,2022_04_23 02:28:01.048934,TM23260780,ENE,Address171 Part:,TM 171
,,"STRUCTURE=STORM DRAIN, VOLTAGE=47.1, GROUND=OFTAL CURB, MSPLATE=85NL, HARMONIC=44.4, V NON-SHUNT=64.0, STATUS=CREW WAITING"
2,2022_04_23 03:45:57.448934,TM23260780: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_23 05:13:15.448934,TM23260780: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_23 07:44:11.248934,TM23260780: Comment: BFS REQUIRED ON SITE
5,2022_04_23 08:14:56.848934,TM23260780: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_23 11:12:55.648934,TM23260780: Comment: FROM 04QR TO 17NK
7,2022_04_23 13:13:00.448934,"TM23260780: Comment: SURVEY CONDUCTED, REPORTS 45BQ"
8,2022_04_23 14:16:52.048934,TM23260780: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 14:27:04.048934,TM23260780: Comment: 5.1 VOLTS REMAINING
10,2022_04_23 14:33:58.048934,TM23260780: Comment: FLUSH NEEDED
11,2022_04_23 14:38:58.648934,TM23260780: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
12,2022_04_23 16:00:39.448934,TM23260780: Comment: ELECTRICIAN RELEASED AT 6:39HRS
13,2022_04_23 18:55:02.248934,"TM23260780: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
