Line,Time,Remark
1,2022_04_22 19:02:28.043933,TM62730959,ENE,Address163 Part:,HD 163
,,"STRUCTURE=STREET LIGHT, VOLTAGE=56.2, GROUND=OFTAL FENCE, MSPLATE=08FA, HARMONIC=32.7, V NON-SHUNT=83.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:49:59.843933,TM62730959: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_22 22:24:02.843933,TM62730959: Comment: 3.6 VOLTS REMAINING
4,2022_04_23 01:20:32.243933,TM62730959: Comment: CREW NOTIFIED
5,2022_04_23 02:18:56.243933,TM62730959: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
6,2022_04_23 03:11:07.043933,TM62730959: Comment: ADDITIONAL ASSISTANCE NEEDED
7,2022_04_23 03:44:42.443933,TM62730959: Comment: CONTACT S&R
8,2022_04_23 04:39:39.443933,TM62730959: Comment: LOAD TEST SUCCEEDED AT 3:57HRS
9,2022_04_23 06:23:55.643933,TM62730959: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 09:16:22.043933,TM62730959: Comment: FLUSH NEEDED
