Line,Time,Remark
1,2022_04_22 21:54:14.227719,EB71306823,ENE,Address138 Part:,TM 138
,,"STRUCTURE=SERVICE BOX, VOLTAGE=55.7, GROUND=OFTAL CURB, MSPLATE=76ZH, HARMONIC=43.5, V NON-SHUNT=31.8, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 00:28:44.827719,EB71306823: Comment: EXPECTED STORM DRAIN GOT SIDEWALK
3,2022_04_23 01:41:17.827719,EB71306823: Comment: CREW NOTIFIED
4,2022_04_23 02:20:11.227719,EB71306823: Comment: BFS REQUIRED ON SITE
5,2022_04_23 03:13:43.027719,EB71306823: Comment: LOAD TEST SUCCEEDED AT 10:23HRS
6,2022_04_23 03:41:24.427719,"EB71306823: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
7,2022_04_23 05:52:53.227719,EB71306823: Comment: FROM 70U TO 11O
8,2022_04_23 07:50:32.227719,EB71306823: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 08:54:53.827719,EB71306823: Comment: FLUSH NEEDED
10,2022_04_23 09:56:20.827719,EB71306823: Comment: ELECTRICIAN RELEASED AT 9:20HRS
11,2022_04_23 12:07:22.027719,EB71306823: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
