Line,Time,Remark
1,2022_04_22 21:34:34.634827,OF11123033,ENE,Address149 Part:,RL 149
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=50.5, GROUND=STREETSIGN, MSPLATE=14V, HARMONIC=21.5, V NON-SHUNT=44.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:46:49.634827,OF11123033: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_23 02:38:21.434827,OF11123033: Comment: FLUSH NEEDED
4,2022_04_23 05:12:55.034827,"OF11123033: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
5,2022_04_23 08:12:22.034827,OF11123033: Comment: EXPECTED MANHOLE COVER GOT DIRT
6,2022_04_23 09:01:41.834827,OF11123033: Comment: CREW NOTIFIED
7,2022_04_23 11:34:27.434827,OF11123033: Comment: LOAD TEST SUCCEEDED AT 2:39HRS
8,2022_04_23 12:55:32.834827,OF11123033: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 14:07:28.034827,OF11123033: Comment: FROM 61SU TO 63BO
10,2022_04_23 15:15:01.634827,OF11123033: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
11,2022_04_23 17:54:50.234827,OF11123033: Comment: CONTACT S&R
