Line,Time,Remark
1,2022_04_23 02:22:03.340286,TM23681179,ENE,Address13 Part:,HD 13
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=38.4, GROUND=HYDRANT, MSPLATE=37R, HARMONIC=1.5, V NON-SHUNT=94.4, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 03:56:04.540286,TM23681179: Comment: EXPECTED ASPHALT GOT TRAFFIC LIGHT
3,2022_04_23 05:29:52.540286,TM23681179: Comment: LOAD TEST SUCCEEDED AT 3:23HRS
4,2022_04_23 07:36:02.740286,TM23681179: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 08:20:08.740286,TM23681179: Comment: CONTACT S&R
6,2022_04_23 08:53:45.940286,"TM23681179: Comment: SURVEY CONDUCTED, REPORTS 62BQ"
7,2022_04_23 10:20:27.340286,TM23681179: Comment: ELECTRICIAN RELEASED AT 2:40HRS
8,2022_04_23 10:28:04.540286,TM23681179: Comment: CREW NOTIFIED
9,2022_04_23 12:40:21.340286,TM23681179: Comment: 41% HARMONICS
10,2022_04_23 14:02:57.340286,TM23681179: Comment: FROM 30H TO 07JZ
11,2022_04_23 16:14:16.540286,TM23681179: Comment: 37.7 VOLTS
12,2022_04_23 17:12:11.740286,TM23681179: Comment: FLUSH NEEDED
13,2022_04_23 18:13:26.740286,TM23681179: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
14,2022_04_23 19:39:50.140286,"TM23681179: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
