Line,Time,Remark
1,2022_04_23 02:32:19.022717,RL05421965,ENE,Address130 Part:,HD 130
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=12.1, GROUND=OFTAL FENCE, MSPLATE=21W, HARMONIC=35.2, V NON-SHUNT=31.3, STATUS=CREW WAITING"
2,2022_04_23 04:47:47.222717,RL05421965: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
3,2022_04_23 06:53:51.422717,RL05421965: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_23 08:19:26.222717,RL05421965: Comment: BFS REQUIRED ON SITE
5,2022_04_23 11:00:33.422717,"RL05421965: Comment: SURVEY CONDUCTED, REPORTS 69BQ"
6,2022_04_23 12:05:23.822717,RL05421965: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_23 12:50:49.622717,RL05421965: Comment: CREW NOTIFIED
8,2022_04_23 13:59:19.022717,RL05421965: Comment: 31.4 VOLTS
9,2022_04_23 14:18:36.422717,RL05421965: Comment: FLUSH NEEDED
10,2022_04_23 17:13:31.622717,RL05421965: Comment: 2.9 VOLTS REMAINING
11,2022_04_23 19:31:40.622717,RL05421965: Comment: LOAD TEST SUCCEEDED AT 7:34HRS
12,2022_04_23 21:20:07.622717,RL05421965: Comment: 22% HARMONICS
13,2022_04_23 22:26:03.422717,"RL05421965: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
