Line,Time,Remark
1,2022_04_22 15:14:38.244934,TM17925083,ENE,Address165 Part:,EB 165
,,"STRUCTURE=GAS CAP, VOLTAGE=91.6, GROUND=HYDRANT, MSPLATE=53M, HARMONIC=3.2, V NON-SHUNT=6.7, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 17:15:50.844934,TM17925083: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
3,2022_04_22 17:32:58.044934,TM17925083: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_22 19:48:16.044934,TM17925083: Comment: EXPECTED SCAFFOLDING GOT STREET LIGHT
5,2022_04_22 22:33:56.844934,"TM17925083: Comment: SURVEY CONDUCTED, REPORTS 14BQ"
6,2022_04_23 01:13:40.644934,"TM17925083: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
7,2022_04_23 03:42:10.644934,TM17925083: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 04:34:40.044934,TM17925083: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 04:42:21.444934,TM17925083: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 05:22:22.644934,TM17925083: Comment: 31.9 VOLTS
