Line,Time,Remark
1,2022_04_23 04:27:40.627719,EB56702844,ENE,Address139 Part:,EB 139
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=3.9, GROUND=HYDRANT, MSPLATE=93X, HARMONIC=35.7, V NON-SHUNT=4.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 05:58:15.427719,EB56702844: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_23 06:32:36.427719,EB56702844: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_23 08:46:55.627719,EB56702844: Comment: 34% HARMONICS
5,2022_04_23 09:10:28.027719,EB56702844: Comment: CREW NOTIFIED
6,2022_04_23 12:01:51.427719,EB56702844: Comment: EXPECTED SIDEWALK GOT SCAFFOLDING
7,2022_04_23 14:17:06.427719,EB56702844: Comment: FROM 29I TO 69O
8,2022_04_23 15:56:08.827719,EB56702844: Comment: FLUSH NEEDED
9,2022_04_23 17:10:06.427719,EB56702844: Comment: BFS REQUIRED ON SITE
10,2022_04_23 18:00:41.227719,"EB56702844: Comment: SURVEY CONDUCTED, REPORTS 28BQ"
11,2022_04_23 20:03:53.227719,EB56702844: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
12,2022_04_23 22:13:04.627719,EB56702844: Comment: ADDITIONAL ASSISTANCE NEEDED
13,2022_04_23 22:39:34.027719,EB56702844: Comment: CONTACT S&R
14,2022_04_24 00:00:49.027719,EB56702844: Comment: ELECTRICIAN RELEASED AT 10:12HRS
15,2022_04_24 01:06:44.827719,EB56702844: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
