Line,Time,Remark
1,2022_04_22 15:59:02.774375,RL20865862,ENE,Address59 Part:,EB 59
,,"STRUCTURE=STREET LIGHT, VOLTAGE=22.4, GROUND=OFTAL FENCE, MSPLATE=98M, HARMONIC=44.5, V NON-SHUNT=26.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 16:16:24.374375,"RL20865862: Comment: SURVEY CONDUCTED, REPORTS 53BQ"
3,2022_04_22 17:28:28.574375,RL20865862: Comment: SERVICE VEHICLE REQUESTED
4,2022_04_22 19:13:32.774375,RL20865862: Comment: LOAD TEST SUCCEEDED AT 7:16HRS
5,2022_04_22 21:52:03.374375,RL20865862: Comment: CONTACT S&R
6,2022_04_22 22:00:45.374375,RL20865862: Comment: FLUSH NEEDED
7,2022_04_23 00:59:56.174375,RL20865862: Comment: EXPECTED TRAFFIC LIGHT GOT MANHOLE COVER
8,2022_04_23 03:42:05.174375,RL20865862: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
9,2022_04_23 04:42:51.374375,"RL20865862: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
10,2022_04_23 06:19:48.374375,RL20865862: Comment: ADDITIONAL ASSISTANCE NEEDED
11,2022_04_23 08:22:39.974375,RL20865862: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
12,2022_04_23 09:46:15.374375,RL20865862: Comment: 60.1 VOLTS
13,2022_04_23 12:28:27.974375,RL20865862: Comment: FROM 79T TO 93VQ
14,2022_04_23 12:43:24.974375,RL20865862: Comment: BFS REQUIRED ON SITE
