Line,Time,Remark
1,2022_04_23 02:47:11.826718,OF53054289,ENE,Address136 Part:,TM 136
,,"STRUCTURE=SERVICE BOX, VOLTAGE=28.9, GROUND=STREETSIGN, MSPLATE=51ND, HARMONIC=39.1, V NON-SHUNT=56.3, STATUS=CREW WAITING"
2,2022_04_23 03:44:35.226718,OF53054289: Comment: CREW NOTIFIED
3,2022_04_23 04:36:26.826718,OF53054289: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_23 06:04:52.626718,OF53054289: Comment: EXPECTED STREET LIGHT GOT STORM DRAIN
5,2022_04_23 08:45:35.826718,"OF53054289: Comment: SURVEY CONDUCTED, REPORTS 59BQ"
6,2022_04_23 08:56:20.826718,OF53054289: Comment: CONTACT S&R
7,2022_04_23 11:24:22.626718,OF53054289: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_23 13:04:37.626718,OF53054289: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
9,2022_04_23 14:52:19.026718,OF53054289: Comment: 65.8 VOLTS
10,2022_04_23 15:06:35.826718,OF53054289: Comment: FROM 08LU TO 75BG
11,2022_04_23 16:36:50.826718,OF53054289: Comment: ELECTRICIAN RELEASED AT 1:39HRS
12,2022_04_23 18:59:26.826718,OF53054289: Comment: 8.0 VOLTS REMAINING
13,2022_04_23 20:32:30.426718,"OF53054289: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
14,2022_04_23 20:53:14.226718,OF53054289: Comment: FLUSH NEEDED
15,2022_04_23 22:18:32.826718,OF53054289: Comment: 4% HARMONICS
