Line,Time,Remark
1,2022_04_22 18:48:50.769373,RL19343663,ENE,Address52 Part:,HD 52
,,"STRUCTURE=GAS CAP, VOLTAGE=76.0, GROUND=STREETSIGN, MSPLATE=63T, HARMONIC=5.5, V NON-SHUNT=70.4, STATUS=CREW WAITING"
2,2022_04_22 20:19:50.769373,RL19343663: Comment: LOAD TEST SUCCEEDED AT 6:49HRS
3,2022_04_22 22:51:34.569373,"RL19343663: Comment: SURVEY CONDUCTED, REPORTS 49BQ"
4,2022_04_23 01:32:44.769373,RL19343663: Comment: CREW NOTIFIED
5,2022_04_23 02:57:39.969373,RL19343663: Comment: 4% HARMONICS
6,2022_04_23 05:32:21.969373,RL19343663: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_23 07:05:09.369373,RL19343663: Comment: ELECTRICIAN RELEASED AT 2:31HRS
8,2022_04_23 10:04:21.369373,RL19343663: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 12:49:43.569373,RL19343663: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
10,2022_04_23 14:59:21.969373,RL19343663: Comment: FLUSH NEEDED
11,2022_04_23 17:54:25.569373,RL19343663: Comment: SERVICE VEHICLE REQUESTED
