Line,Time,Remark
1,2022_04_23 01:26:17.193374,RL95363610,ENE,Address86 Part:,TM 86
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=67.2, GROUND=OFTAL CURB, MSPLATE=59GC, HARMONIC=22.3, V NON-SHUNT=58.5, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 02:26:05.193374,RL95363610: Comment: ELECTRICIAN RELEASED AT 2:28HRS
3,2022_04_23 03:43:03.993374,"RL95363610: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
4,2022_04_23 05:17:55.593374,RL95363610: Comment: 7.8 VOLTS REMAINING
5,2022_04_23 07:33:42.993374,RL95363610: Comment: 26% HARMONICS
6,2022_04_23 08:50:41.793374,RL95363610: Comment: 40.3 VOLTS
7,2022_04_23 11:29:59.193374,RL95363610: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
8,2022_04_23 14:17:33.393374,RL95363610: Comment: LOAD TEST SUCCEEDED AT 1:43HRS
9,2022_04_23 15:32:34.593374,RL95363610: Comment: EXPECTED SIDEWALK GOT SCAFFOLDING
10,2022_04_23 15:48:35.793374,RL95363610: Comment: CONTACT S&R
11,2022_04_23 18:14:51.393374,"RL95363610: Comment: SURVEY CONDUCTED, REPORTS 32BQ"
12,2022_04_23 20:32:15.993374,RL95363610: Comment: SERVICE VEHICLE REQUESTED
13,2022_04_23 20:40:35.193374,RL95363610: Comment: BFS REQUIRED ON SITE
14,2022_04_23 22:27:27.393374,RL95363610: Comment: FROM 58O TO 31H
