Line,Time,Remark
1,2022_04_22 21:02:58.036827,RL73968055,ENE,Address152 Part:,OF 152
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=22.1, GROUND=STREETSIGN, MSPLATE=70B, HARMONIC=46.8, V NON-SHUNT=3.9, STATUS=CREW WAITING"
2,2022_04_22 23:20:15.436827,RL73968055: Comment: BFS REQUIRED ON SITE
3,2022_04_23 02:01:23.836827,RL73968055: Comment: 47% HARMONICS
4,2022_04_23 04:27:25.036827,RL73968055: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 07:10:56.236827,RL73968055: Comment: CREW NOTIFIED
6,2022_04_23 09:39:46.036827,RL73968055: Comment: ADDITIONAL ASSISTANCE NEEDED
7,2022_04_23 12:29:48.436827,RL73968055: Comment: 90.5 VOLTS
8,2022_04_23 15:29:08.836827,RL73968055: Comment: 8.7 VOLTS REMAINING
9,2022_04_23 17:47:45.436827,RL73968055: Comment: FLUSH NEEDED
10,2022_04_23 20:01:18.436827,RL73968055: Comment: LOAD TEST SUCCEEDED AT 12:30HRS
11,2022_04_23 22:52:50.836827,RL73968055: Comment: FROM 13XX TO 62RV
12,2022_04_23 23:33:55.036827,RL73968055: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
