Line,Time,Remark
1,2022_04_23 00:28:02.215574,RL47094302,ENE,Address120 Part:,OF 120
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=51.7, GROUND=HYDRANT, MSPLATE=09W, HARMONIC=5.3, V NON-SHUNT=43.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 01:25:43.015574,"RL47094302: Comment: SURVEY CONDUCTED, REPORTS 79BQ"
3,2022_04_23 02:17:21.415574,RL47094302: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_23 03:35:40.015574,RL47094302: Comment: LOAD TEST SUCCEEDED AT 8:46HRS
5,2022_04_23 05:02:43.615574,RL47094302: Comment: ELECTRICIAN RELEASED AT 7:23HRS
6,2022_04_23 06:01:44.815574,RL47094302: Comment: FLUSH NEEDED
7,2022_04_23 07:30:22.615574,RL47094302: Comment: BFS REQUIRED ON SITE
8,2022_04_23 07:41:07.615574,RL47094302: Comment: 1.8 VOLTS REMAINING
9,2022_04_23 07:53:46.615574,RL47094302: Comment: 48.8 VOLTS
10,2022_04_23 10:27:20.815574,RL47094302: Comment: FROM 10HC TO 54XG
11,2022_04_23 11:58:53.815574,"RL47094302: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
