Line,Time,Remark
1,2022_04_22 23:42:56.260537,TM47816418,ENE,Address190 Part:,RL 190
,,"STRUCTURE=SIDEWALK, VOLTAGE=94.2, GROUND=HYDRANT, MSPLATE=72W, HARMONIC=9.6, V NON-SHUNT=73.1, STATUS=CREW WAITING"
2,2022_04_23 01:43:48.460537,TM47816418: Comment: ELECTRICIAN RELEASED AT 9:22HRS
3,2022_04_23 03:50:52.060537,TM47816418: Comment: FLUSH NEEDED
4,2022_04_23 05:53:35.860537,TM47816418: Comment: 2.8 VOLTS REMAINING
5,2022_04_23 06:55:47.260537,TM47816418: Comment: 25% HARMONICS
6,2022_04_23 07:32:27.460537,TM47816418: Comment: BFS REQUIRED ON SITE
7,2022_04_23 09:48:57.460537,TM47816418: Comment: CREW NOTIFIED
8,2022_04_23 12:21:42.460537,TM47816418: Comment: LOAD TEST SUCCEEDED AT 8:27HRS
9,2022_04_23 14:12:58.060537,"TM47816418: Comment: SURVEY CONDUCTED, REPORTS 43BQ"
10,2022_04_23 14:59:50.260537,"TM47816418: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
11,2022_04_23 17:09:02.860537,TM47816418: Comment: 87.4 VOLTS
12,2022_04_23 18:32:26.260537,TM47816418: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
