Line,Time,Remark
1,2022_04_22 16:23:31.001374,RL42242297,ENE,Address98 Part:,EB 98
,,"STRUCTURE=DIRT, VOLTAGE=60.4, GROUND=OFTAL CURB, MSPLATE=80K, HARMONIC=21.1, V NON-SHUNT=28.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:09:15.401374,"RL42242297: Comment: SURVEY CONDUCTED, REPORTS 70BQ"
3,2022_04_22 20:06:13.001374,RL42242297: Comment: LOAD TEST SUCCEEDED AT 3:34HRS
4,2022_04_22 22:39:16.601374,RL42242297: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 00:19:30.401374,RL42242297: Comment: FLUSH NEEDED
6,2022_04_23 01:30:57.401374,RL42242297: Comment: ELECTRICIAN RELEASED AT 11:10HRS
7,2022_04_23 03:03:14.801374,RL42242297: Comment: CONTACT S&R
8,2022_04_23 03:57:48.401374,RL42242297: Comment: 20% HARMONICS
9,2022_04_23 05:35:21.401374,RL42242297: Comment: BFS REQUIRED ON SITE
10,2022_04_23 06:36:55.601374,RL42242297: Comment: FROM 23E TO 31QQ
11,2022_04_23 09:07:55.001374,RL42242297: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
12,2022_04_23 11:10:40.001374,RL42242297: Comment: SERVICE VEHICLE REQUESTED
13,2022_04_23 12:17:25.601374,RL42242297: Comment: 67.5 VOLTS
14,2022_04_23 15:03:06.401374,RL42242297: Comment: EXPECTED ASPHALT GOT TRAFFIC LIGHT
