Line,Time,Remark
1,2022_04_22 14:05:02.788376,EB14034463,ENE,Address78 Part:,TM 78
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=73.5, GROUND=OFTAL CURB, MSPLATE=27UA, HARMONIC=18.2, V NON-SHUNT=95.6, STATUS=CREW WAITING"
2,2022_04_22 16:50:12.388376,EB14034463: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
3,2022_04_22 19:05:47.788376,EB14034463: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_22 21:31:56.788376,EB14034463: Comment: EXPECTED GAS CAP GOT DIRT
5,2022_04_23 00:14:11.788376,EB14034463: Comment: LOAD TEST SUCCEEDED AT 5:10HRS
6,2022_04_23 00:44:16.588376,EB14034463: Comment: FROM 78T TO 09MH
7,2022_04_23 01:09:59.788376,EB14034463: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
8,2022_04_23 01:37:36.388376,EB14034463: Comment: CONTACT S&R
9,2022_04_23 02:14:10.588376,EB14034463: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
10,2022_04_23 04:01:49.588376,EB14034463: Comment: BFS REQUIRED ON SITE
11,2022_04_23 05:03:03.388376,"EB14034463: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
