Line,Time,Remark
1,2022_04_22 18:00:46.600374,TM82995113,ENE,Address96 Part:,EB 96
,,"STRUCTURE=DIRT, VOLTAGE=77.2, GROUND=STREETSIGN, MSPLATE=31J, HARMONIC=48.5, V NON-SHUNT=37.7, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:17:44.800374,TM82995113: Comment: SERVICE VEHICLE REQUESTED
3,2022_04_22 20:57:09.400374,TM82995113: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_22 21:13:46.600374,TM82995113: Comment: LOAD TEST SUCCEEDED AT 4:53HRS
5,2022_04_22 21:43:59.800374,TM82995113: Comment: CONTACT S&R
6,2022_04_22 22:20:34.000374,TM82995113: Comment: BFS REQUIRED ON SITE
7,2022_04_22 23:12:10.600374,"TM82995113: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
8,2022_04_23 01:49:53.800374,TM82995113: Comment: 7.2 VOLTS REMAINING
9,2022_04_23 03:45:49.600374,TM82995113: Comment: CREW NOTIFIED
10,2022_04_23 05:21:38.200374,TM82995113: Comment: FLUSH NEEDED
11,2022_04_23 07:36:02.200374,TM82995113: Comment: 44.4 VOLTS
12,2022_04_23 09:55:13.000374,TM82995113: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
