Line,Time,Remark
1,2022_04_23 03:14:16.595375,OF25031885,ENE,Address88 Part:,HD 88
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=84.6, GROUND=STREETSIGN, MSPLATE=84VI, HARMONIC=44.8, V NON-SHUNT=68.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 04:45:48.995375,OF25031885: Comment: BFS REQUIRED ON SITE
3,2022_04_23 06:35:22.595375,OF25031885: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_23 09:13:05.795375,OF25031885: Comment: ELECTRICIAN RELEASED AT 8:24HRS
5,2022_04_23 10:30:47.195375,OF25031885: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 10:46:52.595375,OF25031885: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 13:33:36.395375,OF25031885: Comment: 8.1 VOLTS REMAINING
8,2022_04_23 15:39:27.395375,OF25031885: Comment: 40.5 VOLTS
9,2022_04_23 17:11:42.395375,"OF25031885: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
10,2022_04_23 20:00:33.395375,OF25031885: Comment: EXPECTED DIRT GOT ASPHALT
11,2022_04_23 22:40:20.795375,OF25031885: Comment: CONTACT S&R
12,2022_04_23 23:40:08.195375,OF25031885: Comment: CREW NOTIFIED
13,2022_04_24 00:05:09.395375,OF25031885: Comment: FLUSH NEEDED
