Line,Time,Remark
1,2022_04_22 17:26:14.819575,RL13682876,ENE,Address125 Part:,EB 125
,,"STRUCTURE=SERVICE BOX, VOLTAGE=93.1, GROUND=OFTAL CURB, MSPLATE=03VP, HARMONIC=32.3, V NON-SHUNT=31.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:06:51.419575,RL13682876: Comment: CONTACT S&R
3,2022_04_22 21:34:11.219575,RL13682876: Comment: FROM 98LR TO 11BG
4,2022_04_22 23:33:15.419575,RL13682876: Comment: EXPECTED ASPHALT GOT SIDEWALK
5,2022_04_23 00:01:32.219575,"RL13682876: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
6,2022_04_23 01:02:43.619575,RL13682876: Comment: ELECTRICIAN RELEASED AT 10:22HRS
7,2022_04_23 02:35:02.819575,RL13682876: Comment: 2.2 VOLTS REMAINING
8,2022_04_23 05:04:09.419575,RL13682876: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 07:41:00.419575,RL13682876: Comment: BFS REQUIRED ON SITE
