Line,Time,Remark
1,2022_04_22 19:48:28.055535,HD44286892,ENE,Address182 Part:,RL 182
,,"STRUCTURE=STREET LIGHT, VOLTAGE=45.3, GROUND=HDTAL FENCE, MSPLATE=21PY, HARMONIC=3.8, V NON-SHUNT=55.6, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 22:30:38.855535,HD44286892: Comment: FLUSH NEEDED
3,2022_04_22 23:42:46.655535,HD44286892: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
4,2022_04_23 00:46:35.255535,HD44286892: Comment: CONTACT S&R
5,2022_04_23 03:11:59.855535,HD44286892: Comment: LOAD TEST SUCCEEDED AT 11:16HRS
6,2022_04_23 06:06:13.055535,HD44286892: Comment: ELECTRICIAN RELEASED AT 4:20HRS
7,2022_04_23 08:53:41.855535,HD44286892: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_23 10:23:48.455535,"HD44286892: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
9,2022_04_23 10:55:39.455535,HD44286892: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 11:03:28.655535,HD44286892: Comment: EXPECTED ROLLDOWN GATE GOT SERVICE BOX
11,2022_04_23 12:44:08.255535,"HD44286892: Comment: SURVEY CONDUCTED, REPORTS 15BQ"
12,2022_04_23 15:19:32.855535,HD44286892: Comment: FROM 52T TO 28SJ
13,2022_04_23 16:53:15.455535,HD44286892: Comment: ADDITIONAL ASSISTANCE NEEDED
14,2022_04_23 17:08:55.055535,HD44286892: Comment: 7.0 VOLTS REMAINING
15,2022_04_23 18:51:42.455535,HD44286892: Comment: 41% HARMONICS
