Line,Time,Remark
1,2022_04_23 03:10:41.199375,HD24156929,ENE,Address94 Part:,TM 94
,,"STRUCTURE=STREET LIGHT, VOLTAGE=15.6, GROUND=HYDRANT, MSPLATE=29GG, HARMONIC=20.6, V NON-SHUNT=91.9, STATUS=CREW WAITING"
2,2022_04_23 03:33:53.199375,HD24156929: Comment: 4.5 VOLTS REMAINING
3,2022_04_23 06:17:20.799375,HD24156929: Comment: EXPECTED DIRT GOT TRAFFIC LIGHT
4,2022_04_23 06:34:06.999375,HD24156929: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
5,2022_04_23 08:12:36.399375,"HD24156929: Comment: SURVEY CONDUCTED, REPORTS 77BQ"
6,2022_04_23 08:54:51.399375,HD24156929: Comment: 61.8 VOLTS
7,2022_04_23 09:44:19.599375,HD24156929: Comment: BFS REQUIRED ON SITE
8,2022_04_23 09:54:27.399375,"HD24156929: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
9,2022_04_23 11:45:23.799375,HD24156929: Comment: LOAD TEST SUCCEEDED AT 4:24HRS
