Line,Time,Remark
1,2022_04_22 18:51:19.580375,TM20663123,ENE,Address67 Part:,HD 67
,,"STRUCTURE=SERVICE BOX, VOLTAGE=15.3, GROUND=OFTAL CURB, MSPLATE=48RA, HARMONIC=47.5, V NON-SHUNT=89.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 20:08:02.180375,TM20663123: Comment: CREW NOTIFIED
3,2022_04_22 20:19:30.380375,"TM20663123: Comment: SURVEY CONDUCTED, REPORTS 9BQ"
4,2022_04_22 23:05:35.180375,TM20663123: Comment: FROM 62I TO 22B
5,2022_04_23 01:39:14.180375,TM20663123: Comment: 79.3 VOLTS
6,2022_04_23 01:58:12.980375,TM20663123: Comment: LOAD TEST SUCCEEDED AT 8:16HRS
7,2022_04_23 02:58:17.780375,TM20663123: Comment: 13% HARMONICS
8,2022_04_23 05:55:01.580375,TM20663123: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
9,2022_04_23 07:14:12.980375,TM20663123: Comment: FLUSH NEEDED
