Line,Time,Remark
1,2022_04_22 18:28:28.545287,HD20142177,ENE,Address20 Part:,HD 20
,,"STRUCTURE=SERVICE BOX, VOLTAGE=19.5, GROUND=HYDRANT, MSPLATE=04NU, HARMONIC=17.8, V NON-SHUNT=8.9, STATUS=CREW WAITING"
2,2022_04_22 20:25:41.145287,HD20142177: Comment: FROM 62P TO 00RI
3,2022_04_22 21:07:56.745287,HD20142177: Comment: LOAD TEST SUCCEEDED AT 8:32HRS
4,2022_04_22 21:57:17.745287,HD20142177: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
5,2022_04_22 23:46:00.345287,HD20142177: Comment: 6.3 VOLTS
6,2022_04_23 02:26:14.145287,HD20142177: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 03:58:45.945287,HD20142177: Comment: ELECTRICIAN RELEASED AT 9:20HRS
8,2022_04_23 05:13:38.745287,HD20142177: Comment: 4.4 VOLTS REMAINING
9,2022_04_23 05:28:53.145287,HD20142177: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 06:13:24.945287,HD20142177: Comment: CONTACT S&R
11,2022_04_23 08:08:47.145287,HD20142177: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
12,2022_04_23 08:51:26.145287,HD20142177: Comment: CREW NOTIFIED
13,2022_04_23 10:32:57.945287,HD20142177: Comment: EXPECTED ASPHALT GOT SIDEWALK
