Line,Time,Remark
1,2022_04_22 19:17:34.553287,HD28588545,ENE,Address30 Part:,OF 30
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=65.9, GROUND=OFTAL CURB, MSPLATE=12CO, HARMONIC=24.1, V NON-SHUNT=72.6, STATUS=CREW WAITING"
2,2022_04_22 20:28:06.953287,HD28588545: Comment: BFS REQUIRED ON SITE
3,2022_04_22 22:45:03.953287,HD28588545: Comment: SERVICE VEHICLE REQUESTED
4,2022_04_23 01:36:08.753287,HD28588545: Comment: 89.6 VOLTS
5,2022_04_23 03:41:48.353287,"HD28588545: Comment: SURVEY CONDUCTED, REPORTS 38BQ"
6,2022_04_23 04:46:23.753287,"HD28588545: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
7,2022_04_23 04:56:58.553287,HD28588545: Comment: CREW NOTIFIED
8,2022_04_23 07:45:41.153287,HD28588545: Comment: 2.1 VOLTS REMAINING
9,2022_04_23 08:30:45.353287,HD28588545: Comment: FROM 92EX TO 07RC
10,2022_04_23 10:17:15.353287,HD28588545: Comment: ELECTRICIAN RELEASED AT 11:36HRS
11,2022_04_23 10:37:05.753287,HD28588545: Comment: FLUSH NEEDED
12,2022_04_23 11:42:55.553287,HD28588545: Comment: LOAD TEST SUCCEEDED AT 7:34HRS
13,2022_04_23 12:45:53.753287,HD28588545: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
14,2022_04_23 14:47:35.753287,HD28588545: Comment: CONTACT S&R
15,2022_04_23 16:05:57.353287,HD28588545: Comment: 2% HARMONICS
