Line,Time,Remark
1,2022_04_22 14:13:54.413574,EB17516984,ENE,Address117 Part:,RL 117
,,"STRUCTURE=ASPHALT, VOLTAGE=15.9, GROUND=HYDRANT, MSPLATE=22K, HARMONIC=25.7, V NON-SHUNT=20.9, STATUS=CREW WAITING"
2,2022_04_22 14:40:19.013574,EB17516984: Comment: LOAD TEST SUCCEEDED AT 10:32HRS
3,2022_04_22 15:13:53.813574,"EB17516984: Comment: SURVEY CONDUCTED, REPORTS 55BQ"
4,2022_04_22 15:58:56.813574,EB17516984: Comment: EXPECTED ROLLDOWN GATE GOT SIDEWALK
5,2022_04_22 18:22:59.813574,EB17516984: Comment: CREW NOTIFIED
6,2022_04_22 20:18:37.013574,EB17516984: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_22 21:57:15.413574,EB17516984: Comment: BFS REQUIRED ON SITE
8,2022_04_23 00:07:00.413574,EB17516984: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 02:29:47.213574,EB17516984: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 05:07:27.413574,EB17516984: Comment: 65.3 VOLTS
11,2022_04_23 06:40:13.013574,EB17516984: Comment: CONTACT S&R
