Line,Time,Remark
1,2022_04_22 23:33:11.212434,OF43198699,ENE,Address114 Part:,RL 114
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=89.7, GROUND=HYDRANT, MSPLATE=21S, HARMONIC=37.1, V NON-SHUNT=80.3, STATUS=CREW WAITING"
2,2022_04_23 01:44:08.212434,"OF43198699: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
3,2022_04_23 04:08:59.212434,OF43198699: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
4,2022_04_23 04:18:56.212434,OF43198699: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 07:11:44.812434,OF43198699: Comment: ELECTRICIAN RELEASED AT 7:11HRS
6,2022_04_23 07:49:01.012434,OF43198699: Comment: CREW NOTIFIED
7,2022_04_23 08:10:44.212434,OF43198699: Comment: 11% HARMONICS
8,2022_04_23 09:46:34.012434,"OF43198699: Comment: SURVEY CONDUCTED, REPORTS 50BQ"
9,2022_04_23 11:18:16.612434,OF43198699: Comment: 83.6 VOLTS
10,2022_04_23 11:23:17.812434,OF43198699: Comment: FLUSH NEEDED
11,2022_04_23 12:03:35.812434,OF43198699: Comment: 2.5 VOLTS REMAINING
