Line,Time,Remark
1,2022_04_22 23:07:27.448934,HD58838409,ENE,Address172 Part:,RL 172
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=55.0, GROUND=HYDRANT, MSPLATE=57PR, HARMONIC=32.6, V NON-SHUNT=79.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:15:05.248934,HD58838409: Comment: EXPECTED SIDEWALK GOT MANHOLE COVER
3,2022_04_23 01:01:54.448934,HD58838409: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
4,2022_04_23 03:48:55.648934,HD58838409: Comment: CREW NOTIFIED
5,2022_04_23 06:02:53.248934,HD58838409: Comment: FROM 91U TO 41B
6,2022_04_23 07:47:57.448934,HD58838409: Comment: 14% HARMONICS
7,2022_04_23 10:04:40.648934,HD58838409: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 11:43:13.048934,HD58838409: Comment: 0.9 VOLTS REMAINING
9,2022_04_23 14:16:40.048934,HD58838409: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
10,2022_04_23 16:26:22.048934,HD58838409: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
