Line,Time,Remark
1,2022_04_22 12:48:37.638826,OF50435769,ENE,Address156 Part:,TM 156
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=1.6, GROUND=OFTAL FENCE, MSPLATE=75IT, HARMONIC=36.1, V NON-SHUNT=90.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 12:55:49.038826,OF50435769: Comment: LOAD TEST SUCCEEDED AT 6:20HRS
3,2022_04_22 14:44:42.438826,"OF50435769: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
4,2022_04_22 15:44:48.438826,OF50435769: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_22 15:52:08.838826,OF50435769: Comment: CONTACT S&R
6,2022_04_22 18:44:38.838826,OF50435769: Comment: BFS REQUIRED ON SITE
7,2022_04_22 20:29:44.838826,OF50435769: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_22 21:30:20.238826,OF50435769: Comment: 18.6 VOLTS
9,2022_04_22 23:29:33.438826,OF50435769: Comment: EXPECTED GAS CAP GOT ROLLDOWN GATE
10,2022_04_22 23:45:56.838826,OF50435769: Comment: FLUSH NEEDED
11,2022_04_22 23:54:13.638826,OF50435769: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
12,2022_04_23 01:22:13.038826,"OF50435769: Comment: SURVEY CONDUCTED, REPORTS 43BQ"
13,2022_04_23 04:01:19.038826,OF50435769: Comment: CREW NOTIFIED
14,2022_04_23 06:48:13.038826,OF50435769: Comment: ELECTRICIAN RELEASED AT 6:50HRS
