Line,Time,Remark
1,2022_04_23 05:01:14.749289,RL08006240,ENE,Address26 Part:,RL 26
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=62.9, GROUND=OFTAL CURB, MSPLATE=65YW, HARMONIC=2.1, V NON-SHUNT=37.7, STATUS=CREW WAITING"
2,2022_04_23 06:46:20.149289,RL08006240: Comment: EXPECTED STREET LIGHT GOT DIRT
3,2022_04_23 09:30:27.949289,RL08006240: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_23 11:25:02.749289,RL08006240: Comment: ELECTRICIAN RELEASED AT 11:56HRS
5,2022_04_23 13:29:24.949289,RL08006240: Comment: 39.5 VOLTS
6,2022_04_23 14:43:21.949289,RL08006240: Comment: CONTACT S&R
7,2022_04_23 17:39:15.349289,RL08006240: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
8,2022_04_23 19:15:05.749289,RL08006240: Comment: CREW NOTIFIED
9,2022_04_23 22:04:24.949289,RL08006240: Comment: FLUSH NEEDED
10,2022_04_24 00:51:51.949289,RL08006240: Comment: BFS REQUIRED ON SITE
11,2022_04_24 01:41:12.949289,RL08006240: Comment: SERVICE VEHICLE REQUESTED
12,2022_04_24 04:06:51.949289,RL08006240: Comment: FROM 72Y TO 64DG
13,2022_04_24 06:50:21.349289,"RL08006240: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
14,2022_04_24 09:47:26.749289,RL08006240: Comment: LOAD TEST SUCCEEDED AT 6:28HRS
