Line,Time,Remark
1,2022_04_22 22:40:07.065635,EB87327517,ENE,Address197 Part:,HD 197
,,"STRUCTURE=SIDEWALK, VOLTAGE=55.9, GROUND=STREETSIGN, MSPLATE=98OQ, HARMONIC=25.6, V NON-SHUNT=18.7, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 01:06:55.065635,EB87327517: Comment: FLUSH NEEDED
3,2022_04_23 02:49:38.265635,EB87327517: Comment: CONTACT S&R
4,2022_04_23 05:09:24.465635,EB87327517: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 07:31:22.665635,EB87327517: Comment: 58.3 VOLTS
6,2022_04_23 09:18:13.665635,"EB87327517: Comment: SURVEY CONDUCTED, REPORTS 41BQ"
7,2022_04_23 11:23:29.865635,"EB87327517: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
8,2022_04_23 13:23:08.265635,EB87327517: Comment: LOAD TEST SUCCEEDED AT 7:26HRS
9,2022_04_23 13:28:23.265635,EB87327517: Comment: BFS REQUIRED ON SITE
10,2022_04_23 15:20:26.865635,EB87327517: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
11,2022_04_23 18:00:47.265635,EB87327517: Comment: 6.2 VOLTS REMAINING
12,2022_04_23 20:52:49.665635,EB87327517: Comment: CREW NOTIFIED
13,2022_04_23 23:47:08.865635,EB87327517: Comment: ELECTRICIAN RELEASED AT 7:48HRS
