Line,Time,Remark
1,2022_04_22 17:02:42.956289,EB35019215,ENE,Address33 Part:,RL 33
,,"STRUCTURE=SIDEWALK, VOLTAGE=43.7, GROUND=OFTAL FENCE, MSPLATE=55A, HARMONIC=25.2, V NON-SHUNT=26.1, STATUS=CREW WAITING"
2,2022_04_22 18:31:47.756289,EB35019215: Comment: CONTACT S&R
3,2022_04_22 20:41:36.956289,EB35019215: Comment: FROM 35XC TO 51AE
4,2022_04_22 21:53:09.956289,"EB35019215: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 2PM"
5,2022_04_22 22:11:30.956289,EB35019215: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
6,2022_04_22 23:14:50.756289,EB35019215: Comment: BFS REQUIRED ON SITE
7,2022_04_23 02:14:11.156289,EB35019215: Comment: EXPECTED STREET LIGHT GOT ASPHALT
8,2022_04_23 05:12:59.156289,EB35019215: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 07:55:24.956289,EB35019215: Comment: 5.3 VOLTS REMAINING
10,2022_04_23 10:35:39.956289,EB35019215: Comment: LOAD TEST SUCCEEDED AT 5:18HRS
