Line,Time,Remark
1,2022_04_23 05:09:26.860537,HD80092014,ENE,Address189 Part:,HD 189
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=16.1, GROUND=HDTAL FENCE, MSPLATE=57QM, HARMONIC=40.1, V NON-SHUNT=76.6, STATUS=CREW WAITING"
2,2022_04_23 05:44:36.460537,HD80092014: Comment: 4.6 VOLTS REMAINING
3,2022_04_23 08:05:35.260537,HD80092014: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
4,2022_04_23 09:50:19.060537,HD80092014: Comment: 20% HARMONICS
5,2022_04_23 10:47:59.260537,HD80092014: Comment: EXPECTED SERVICE BOX GOT GAS CAP
6,2022_04_23 12:09:56.260537,"HD80092014: Comment: SURVEY CONDUCTED, REPORTS 34BQ"
7,2022_04_23 14:00:52.660537,HD80092014: Comment: ELECTRICIAN RELEASED AT 8:51HRS
8,2022_04_23 14:45:39.460537,HD80092014: Comment: FLUSH NEEDED
9,2022_04_23 16:55:54.460537,HD80092014: Comment: SERVICE VEHICLE REQUESTED
10,2022_04_23 17:15:03.460537,HD80092014: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
11,2022_04_23 18:25:15.460537,"HD80092014: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
