Line,Time,Remark
1,2022_04_23 05:12:10.010375,EB92060934,ENE,Address111 Part:,RL 111
,,"STRUCTURE=TRAFFIC LIGHT, VOLTAGE=90.6, GROUND=HYDRANT, MSPLATE=16IF, HARMONIC=44.1, V NON-SHUNT=16.9, STATUS=CREW WAITING"
2,2022_04_23 06:46:29.810375,"EB92060934: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
3,2022_04_23 06:53:41.210375,EB92060934: Comment: EXPECTED STORM DRAIN GOT ROLLDOWN GATE
4,2022_04_23 08:09:55.010375,EB92060934: Comment: 3.1 VOLTS REMAINING
5,2022_04_23 09:24:52.010375,EB92060934: Comment: CREW NOTIFIED
6,2022_04_23 12:10:00.410375,EB92060934: Comment: 74.2 VOLTS
7,2022_04_23 12:32:21.410375,EB92060934: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
8,2022_04_23 14:04:20.210375,EB92060934: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
9,2022_04_23 14:19:32.810375,EB92060934: Comment: 2% HARMONICS
10,2022_04_23 15:49:20.210375,EB92060934: Comment: ADDITIONAL ASSISTANCE NEEDED
