Line,Time,Remark
1,2022_04_22 23:15:53.144287,TM30827937,ENE,Address18 Part:,RL 18
,,"STRUCTURE=ASPHALT, VOLTAGE=29.9, GROUND=OFTAL CURB, MSPLATE=50O, HARMONIC=18.6, V NON-SHUNT=27.6, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:49:28.544287,TM30827937: Comment: CONTACT S&R
3,2022_04_23 01:05:10.544287,TM30827937: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_23 03:40:14.144287,TM30827937: Comment: CREW NOTIFIED
5,2022_04_23 06:29:32.144287,TM30827937: Comment: SERVICE VEHICLE REQUESTED
6,2022_04_23 09:01:26.144287,TM30827937: Comment: 1.7 VOLTS REMAINING
7,2022_04_23 10:00:38.144287,"TM30827937: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
8,2022_04_23 10:40:25.544287,TM30827937: Comment: FROM 66ZQ TO 59VX
9,2022_04_23 10:49:24.944287,TM30827937: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
10,2022_04_23 12:17:43.544287,TM30827937: Comment: EXPECTED ASPHALT GOT SCAFFOLDING
11,2022_04_23 14:46:22.544287,TM30827937: Comment: ELECTRICIAN RELEASED AT 1:24HRS
