Line,Time,Remark
1,2022_04_22 21:18:51.414574,OF80032738,ENE,Address118 Part:,TM 118
,,"STRUCTURE=GAS CAP, VOLTAGE=73.4, GROUND=HYDRANT, MSPLATE=22DK, HARMONIC=41.6, V NON-SHUNT=33.1, STATUS=CREW WAITING"
2,2022_04_22 23:44:24.414574,OF80032738: Comment: CONTACT S&R
3,2022_04_23 00:49:11.214574,OF80032738: Comment: LOAD TEST SUCCEEDED AT 4:19HRS
4,2022_04_23 03:14:58.614574,OF80032738: Comment: FLUSH NEEDED
5,2022_04_23 04:52:19.614574,OF80032738: Comment: BFS REQUIRED ON SITE
6,2022_04_23 06:58:07.014574,OF80032738: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
7,2022_04_23 07:59:52.614574,"OF80032738: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
8,2022_04_23 09:34:17.814574,OF80032738: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 10:51:54.414574,OF80032738: Comment: ELECTRICIAN RELEASED AT 12:40HRS
