Line,Time,Remark
1,2022_04_23 00:21:32.139287,EB39159836,ENE,Address11 Part:,EB 11
,,"STRUCTURE=STORM DRAIN, VOLTAGE=91.6, GROUND=HYDRANT, MSPLATE=64M, HARMONIC=14.6, V NON-SHUNT=30.4, STATUS=CREW WAITING"
2,2022_04_23 01:26:51.939287,"EB39159836: Comment: SURVEY CONDUCTED, REPORTS 43BQ"
3,2022_04_23 04:20:14.139287,EB39159836: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_23 06:29:50.139287,EB39159836: Comment: ELECTRICIAN RELEASED AT 9:26HRS
5,2022_04_23 06:38:26.739287,EB39159836: Comment: 5.3 VOLTS REMAINING
6,2022_04_23 08:26:09.339287,EB39159836: Comment: 26% HARMONICS
7,2022_04_23 09:53:35.739287,EB39159836: Comment: CREW NOTIFIED
8,2022_04_23 10:58:10.539287,EB39159836: Comment: LOAD TEST SUCCEEDED AT 4:25HRS
9,2022_04_23 12:52:22.539287,EB39159836: Comment: SERVICE VEHICLE REQUESTED
10,2022_04_23 15:26:35.139287,EB39159836: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
11,2022_04_23 16:46:49.539287,EB39159836: Comment: CONTACT S&R
12,2022_04_23 16:52:17.739287,EB39159836: Comment: 50.7 VOLTS
13,2022_04_23 18:15:01.539287,EB39159836: Comment: BFS REQUIRED ON SITE
14,2022_04_23 19:42:59.739287,EB39159836: Comment: FLUSH NEEDED
15,2022_04_23 20:14:47.739287,EB39159836: Comment: FROM 42KB TO 30A
