Line,Time,Remark
1,2022_04_22 15:19:05.152286,EB92883752,ENE,Address29 Part:,RL 29
,,"STRUCTURE=DIRT, VOLTAGE=17.8, GROUND=STREETSIGN, MSPLATE=69OU, HARMONIC=35.0, V NON-SHUNT=51.6, STATUS=CREW WAITING"
2,2022_04_22 18:11:30.952286,EB92883752: Comment: 6.9 VOLTS REMAINING
3,2022_04_22 18:40:47.752286,EB92883752: Comment: CREW NOTIFIED
4,2022_04_22 20:38:07.552286,EB92883752: Comment: ADDITIONAL ASSISTANCE NEEDED
5,2022_04_22 22:18:39.352286,EB92883752: Comment: 45% HARMONICS
6,2022_04_22 22:54:42.352286,EB92883752: Comment: ELECTRICIAN RELEASED AT 9:46HRS
7,2022_04_23 00:14:48.352286,EB92883752: Comment: FLUSH NEEDED
8,2022_04_23 02:34:23.152286,EB92883752: Comment: FROM 48ML TO 43QN
9,2022_04_23 03:12:47.152286,"EB92883752: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
10,2022_04_23 03:44:45.952286,"EB92883752: Comment: SURVEY CONDUCTED, REPORTS 71BQ"
11,2022_04_23 03:53:30.352286,EB92883752: Comment: LOAD TEST SUCCEEDED AT 11:19HRS
12,2022_04_23 05:56:56.752286,EB92883752: Comment: SERVICE VEHICLE REQUESTED
13,2022_04_23 07:02:11.752286,EB92883752: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
