Line,Time,Remark
1,2022_04_22 15:45:31.597375,HD16335109,ENE,Address92 Part:,EB 92
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=85.4, GROUND=OFTAL FENCE, MSPLATE=11MD, HARMONIC=49.7, V NON-SHUNT=33.0, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 18:35:23.197375,HD16335109: Comment: 12% HARMONICS
3,2022_04_22 21:02:36.997375,HD16335109: Comment: ADDITIONAL ASSISTANCE NEEDED
4,2022_04_22 22:56:50.197375,HD16335109: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
5,2022_04_23 01:26:04.597375,HD16335109: Comment: ELECTRICIAN RELEASED AT 12:23HRS
6,2022_04_23 01:51:20.197375,HD16335109: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 02:46:53.797375,HD16335109: Comment: FROM 65HH TO 65BS
8,2022_04_23 04:31:39.997375,HD16335109: Comment: 8.8 VOLTS REMAINING
9,2022_04_23 05:22:20.197375,HD16335109: Comment: EXPECTED SIDEWALK GOT GAS CAP
10,2022_04_23 05:53:29.197375,HD16335109: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
