Line,Time,Remark
1,2022_04_23 04:37:30.968375,RL51832224,ENE,Address50 Part:,TM 50
,,"STRUCTURE=DIRT, VOLTAGE=61.8, GROUND=OFTAL FENCE, MSPLATE=23TM, HARMONIC=19.9, V NON-SHUNT=34.4, STATUS=CREW WAITING"
2,2022_04_23 05:59:52.568375,RL51832224: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
3,2022_04_23 08:21:24.968375,RL51832224: Comment: 80.7 VOLTS
4,2022_04_23 09:47:56.168375,"RL51832224: Comment: SURVEY CONDUCTED, REPORTS 15BQ"
5,2022_04_23 10:02:12.368375,RL51832224: Comment: CREW NOTIFIED
6,2022_04_23 10:32:01.568375,RL51832224: Comment: 5.5 VOLTS REMAINING
7,2022_04_23 11:48:33.968375,"RL51832224: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
8,2022_04_23 11:54:30.968375,RL51832224: Comment: ELECTRICIAN RELEASED AT 5:51HRS
9,2022_04_23 14:04:26.168375,RL51832224: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 15:11:59.768375,RL51832224: Comment: SERVICE VEHICLE REQUESTED
11,2022_04_23 17:53:09.368375,RL51832224: Comment: BFS REQUIRED ON SITE
