Line,Time,Remark
1,2022_04_22 23:05:04.619575,RL10003816,ENE,Address126 Part:,HD 126
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=65.1, GROUND=HYDRANT, MSPLATE=65LQ, HARMONIC=19.3, V NON-SHUNT=19.3, STATUS=CREW WAITING"
2,2022_04_23 00:37:50.819575,RL10003816: Comment: BFS REQUIRED ON SITE
3,2022_04_23 01:06:14.819575,RL10003816: Comment: CONTACT S&R
4,2022_04_23 03:22:02.219575,RL10003816: Comment: LOAD TEST SUCCEEDED AT 2:19HRS
5,2022_04_23 06:11:25.619575,RL10003816: Comment: CREW NOTIFIED
6,2022_04_23 06:25:37.619575,"RL10003816: Comment: SURVEY CONDUCTED, REPORTS 54BQ"
7,2022_04_23 07:11:31.619575,RL10003816: Comment: ELECTRICIAN RELEASED AT 11:18HRS
8,2022_04_23 08:42:51.419575,RL10003816: Comment: SERVICE VEHICLE REQUESTED
9,2022_04_23 10:27:32.219575,RL10003816: Comment: 7.4 VOLTS REMAINING
10,2022_04_23 13:18:05.819575,RL10003816: Comment: 31.0 VOLTS
11,2022_04_23 13:31:00.419575,RL10003816: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
12,2022_04_23 15:16:42.419575,RL10003816: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
