Line,Time,Remark
1,2022_04_22 19:16:11.173376,OF21623850,ENE,Address57 Part:,TM 57
,,"STRUCTURE=SERVICE BOX, VOLTAGE=44.0, GROUND=STREETSIGN, MSPLATE=56W, HARMONIC=6.3, V NON-SHUNT=21.3, STATUS=CREW WAITING"
2,2022_04_22 20:29:39.973376,OF21623850: Comment: EXPECTED GAS CAP GOT STREET LIGHT
3,2022_04_22 22:26:30.973376,OF21623850: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_23 00:57:23.173376,OF21623850: Comment: CREW NOTIFIED
5,2022_04_23 03:32:56.173376,OF21623850: Comment: ELECTRICIAN RELEASED AT 7:16HRS
6,2022_04_23 04:10:06.373376,OF21623850: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 04:40:34.573376,OF21623850: Comment: 13% HARMONICS
8,2022_04_23 06:40:12.973376,OF21623850: Comment: 42.6 VOLTS
9,2022_04_23 08:59:12.373376,OF21623850: Comment: 7.6 VOLTS REMAINING
10,2022_04_23 11:54:36.373376,OF21623850: Comment: FLUSH NEEDED
11,2022_04_23 14:04:07.573376,OF21623850: Comment: BFS REQUIRED ON SITE
12,2022_04_23 16:42:42.373376,OF21623850: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
