Line,Time,Remark
1,2022_04_22 22:21:04.582374,OF20458661,ENE,Address70 Part:,OF 70
,,"STRUCTURE=GAS CAP, VOLTAGE=63.3, GROUND=HYDRANT, MSPLATE=87CE, HARMONIC=4.5, V NON-SHUNT=75.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 22:27:42.982374,OF20458661: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_23 01:27:32.182374,OF20458661: Comment: EXPECTED MANHOLE COVER GOT ROLLDOWN GATE
4,2022_04_23 01:51:29.782374,OF20458661: Comment: 3.6 VOLTS REMAINING
5,2022_04_23 03:18:31.582374,OF20458661: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
6,2022_04_23 05:37:17.182374,OF20458661: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
7,2022_04_23 06:28:18.382374,"OF20458661: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 3PM"
8,2022_04_23 08:16:56.782374,OF20458661: Comment: CREW NOTIFIED
9,2022_04_23 10:11:12.982374,OF20458661: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
10,2022_04_23 12:54:06.982374,OF20458661: Comment: FROM 32FV TO 74G
11,2022_04_23 14:58:59.182374,OF20458661: Comment: CONTACT S&R
12,2022_04_23 15:40:39.982374,OF20458661: Comment: 4% HARMONICS
13,2022_04_23 17:12:49.582374,OF20458661: Comment: LOAD TEST SUCCEEDED AT 7:54HRS
14,2022_04_23 17:39:55.582374,OF20458661: Comment: SERVICE VEHICLE REQUESTED
15,2022_04_23 20:07:09.982374,OF20458661: Comment: 93.6 VOLTS
