Line,Time,Remark
1,2022_04_23 01:07:24.358287,TM20920446,ENE,Address36 Part:,OF 36
,,"STRUCTURE=GAS CAP, VOLTAGE=31.6, GROUND=OFTAL CURB, MSPLATE=66Q, HARMONIC=4.0, V NON-SHUNT=55.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 01:47:16.558287,TM20920446: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_23 03:25:32.158287,TM20920446: Comment: LOAD TEST SUCCEEDED AT 2:34HRS
4,2022_04_23 06:05:36.358287,TM20920446: Comment: SERVICE VEHICLE REQUESTED
5,2022_04_23 08:49:12.358287,TM20920446: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
6,2022_04_23 09:05:45.958287,TM20920446: Comment: CONTACT S&R
7,2022_04_23 10:19:18.958287,TM20920446: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
8,2022_04_23 13:01:45.958287,"TM20920446: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
9,2022_04_23 13:12:53.758287,TM20920446: Comment: BFS REQUIRED ON SITE
10,2022_04_23 13:35:29.158287,TM20920446: Comment: 5% HARMONICS
11,2022_04_23 15:17:54.358287,TM20920446: Comment: ELECTRICIAN RELEASED AT 5:50HRS
12,2022_04_23 18:04:47.758287,TM20920446: Comment: FLUSH NEEDED
13,2022_04_23 20:26:00.958287,TM20920446: Comment: FROM 87QN TO 86IM
14,2022_04_23 21:59:23.158287,"TM20920446: Comment: SURVEY CONDUCTED, REPORTS 30BQ"
15,2022_04_23 22:23:09.958287,TM20920446: Comment: 40.4 VOLTS
