Line,Time,Remark
1,2022_04_23 03:20:35.144287,TM65601126,ENE,Address19 Part:,OF 19
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=15.4, GROUND=OFTAL FENCE, MSPLATE=56KK, HARMONIC=15.0, V NON-SHUNT=61.8, STATUS=CREW WAITING"
2,2022_04_23 04:40:26.744287,TM65601126: Comment: FLUSH NEEDED
3,2022_04_23 05:55:23.144287,TM65601126: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_23 07:10:54.344287,TM65601126: Comment: 31.7 VOLTS
5,2022_04_23 07:43:10.544287,TM65601126: Comment: EXPECTED STREET LIGHT GOT STREET LIGHT
6,2022_04_23 07:59:41.144287,TM65601126: Comment: LOAD TEST SUCCEEDED AT 12:36HRS
7,2022_04_23 08:43:42.344287,"TM65601126: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 5PM"
8,2022_04_23 11:14:30.944287,TM65601126: Comment: 13% HARMONICS
9,2022_04_23 14:14:26.744287,TM65601126: Comment: ELECTRICIAN RELEASED AT 2:50HRS
