Line,Time,Remark
1,2022_04_22 22:27:10.533287,HD95756907,ENE,Address2 Part:,HD 2
,,"STRUCTURE=ASPHALT, VOLTAGE=21.1, GROUND=HDTAL FENCE, MSPLATE=34U, HARMONIC=28.7, V NON-SHUNT=18.8, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 22:35:56.133287,HD95756907: Comment: LOAD TEST SUCCEEDED AT 10:41HRS
3,2022_04_23 00:31:18.933287,"HD95756907: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
4,2022_04_23 00:52:09.333287,HD95756907: Comment: FLUSH NEEDED
5,2022_04_23 01:59:50.133287,HD95756907: Comment: ADDITIONAL ASSISTANCE NEEDED
6,2022_04_23 02:11:54.333287,HD95756907: Comment: CONTACT S&R
7,2022_04_23 05:02:01.533287,HD95756907: Comment: ELECTRICIAN RELEASED AT 4:20HRS
8,2022_04_23 06:35:16.533287,HD95756907: Comment: 77.4 VOLTS
9,2022_04_23 09:17:40.533287,HD95756907: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
10,2022_04_23 11:27:44.133287,HD95756907: Comment: 4.3 VOLTS REMAINING
11,2022_04_23 12:33:39.333287,HD95756907: Comment: SERVICE VEHICLE REQUESTED
12,2022_04_23 13:22:45.333287,HD95756907: Comment: BFS REQUIRED ON SITE
13,2022_04_23 13:43:15.933287,HD95756907: Comment: CREW NOTIFIED
