Line,Time,Remark
1,2022_04_23 04:44:26.822717,HD32559962,ENE,Address131 Part:,HD 131
,,"STRUCTURE=SERVICE BOX, VOLTAGE=32.7, GROUND=STREETSIGN, MSPLATE=37YL, HARMONIC=32.0, V NON-SHUNT=33.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 05:51:29.822717,HD32559962: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_23 07:26:45.422717,HD32559962: Comment: 62.6 VOLTS
4,2022_04_23 09:13:26.822717,HD32559962: Comment: CREW NOTIFIED
5,2022_04_23 10:11:57.422717,HD32559962: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 10:34:48.422717,HD32559962: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 11:32:32.822717,HD32559962: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
8,2022_04_23 12:31:59.222717,"HD32559962: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
9,2022_04_23 14:41:26.222717,HD32559962: Comment: EXPECTED SIDEWALK GOT SCAFFOLDING
10,2022_04_23 16:21:33.422717,HD32559962: Comment: LOAD TEST SUCCEEDED AT 12:11HRS
11,2022_04_23 16:53:48.422717,HD32559962: Comment: FROM 33RI TO 16FS
12,2022_04_23 19:52:21.422717,HD32559962: Comment: ELECTRICIAN RELEASED AT 3:23HRS
13,2022_04_23 21:11:22.622717,HD32559962: Comment: 4.8 VOLTS REMAINING
14,2022_04_23 21:52:56.222717,HD32559962: Comment: 27% HARMONICS
15,2022_04_23 23:37:08.222717,HD32559962: Comment: BFS REQUIRED ON SITE
