Line,Time,Remark
1,2022_04_22 13:40:35.805375,RL38959250,ENE,Address104 Part:,TM 104
,,"STRUCTURE=SCAFFOLDING, VOLTAGE=86.0, GROUND=OFTAL FENCE, MSPLATE=55G, HARMONIC=28.7, V NON-SHUNT=55.1, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 14:11:20.805375,RL38959250: Comment: CREW NOTIFIED
3,2022_04_22 14:29:29.805375,RL38959250: Comment: EXPECTED STREET LIGHT GOT STREET LIGHT
4,2022_04_22 15:41:53.205375,RL38959250: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_22 17:50:22.605375,RL38959250: Comment: ELECTRICIAN RELEASED AT 2:17HRS
6,2022_04_22 18:06:08.805375,"RL38959250: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
7,2022_04_22 19:11:08.205375,RL38959250: Comment: 1.0 VOLTS REMAINING
8,2022_04_22 20:42:59.205375,RL38959250: Comment: LOAD TEST SUCCEEDED AT 7:39HRS
9,2022_04_22 21:00:50.805375,RL38959250: Comment: 14.8 VOLTS
10,2022_04_22 21:37:51.405375,RL38959250: Comment: FLUSH NEEDED
