Line,Time,Remark
1,2022_04_22 18:33:46.537287,OF95549548,ENE,Address8 Part:,RL 8
,,"STRUCTURE=SIDEWALK, VOLTAGE=30.3, GROUND=OFTAL FENCE, MSPLATE=78F, HARMONIC=45.1, V NON-SHUNT=43.8, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 19:58:42.937287,OF95549548: Comment: CONTACT S&R
3,2022_04_22 21:19:11.137287,OF95549548: Comment: SERVICE VEHICLE REQUESTED
4,2022_04_22 22:46:13.537287,OF95549548: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 01:17:57.937287,"OF95549548: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 1PM"
6,2022_04_23 03:39:41.137287,OF95549548: Comment: CREW NOTIFIED
7,2022_04_23 05:42:05.737287,OF95549548: Comment: ELECTRICIAN RELEASED AT 4:46HRS
8,2022_04_23 07:30:14.137287,"OF95549548: Comment: SURVEY CONDUCTED, REPORTS 11BQ"
9,2022_04_23 08:37:36.937287,OF95549548: Comment: EXPECTED SIDEWALK GOT TRAFFIC LIGHT
10,2022_04_23 10:21:57.937287,OF95549548: Comment: 10.7 VOLTS
