Line,Time,Remark
1,2022_04_22 20:17:09.360287,HD89176764,ENE,Address39 Part:,HD 39
,,"STRUCTURE=ASPHALT, VOLTAGE=50.7, GROUND=STREETSIGN, MSPLATE=32A, HARMONIC=27.0, V NON-SHUNT=64.8, STATUS=CREW WAITING"
2,2022_04_22 21:40:35.160287,HD89176764: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
3,2022_04_22 23:36:38.760287,HD89176764: Comment: ELECTRICIAN RELEASED AT 7:30HRS
4,2022_04_23 01:59:53.760287,HD89176764: Comment: CONTACT S&R
5,2022_04_23 02:25:42.360287,HD89176764: Comment: FROM 71X TO 01MM
6,2022_04_23 05:14:34.560287,HD89176764: Comment: SERVICE VEHICLE REQUESTED
7,2022_04_23 07:49:54.360287,HD89176764: Comment: LOAD TEST SUCCEEDED AT 10:16HRS
8,2022_04_23 10:47:58.560287,HD89176764: Comment: FLUSH NEEDED
9,2022_04_23 13:22:47.160287,HD89176764: Comment: 16% HARMONICS
10,2022_04_23 13:41:33.960287,HD89176764: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
11,2022_04_23 16:09:11.760287,HD89176764: Comment: 5.3 VOLTS REMAINING
12,2022_04_23 17:05:29.760287,HD89176764: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER HDF
13,2022_04_23 19:33:27.360287,HD89176764: Comment: EXPECTED STORM DRAIN GOT ASPHALT
14,2022_04_23 20:58:16.560287,HD89176764: Comment: ADDITIONAL ASSISTANCE NEEDED
