Line,Time,Remark
1,2022_04_23 02:04:52.649933,EB97789355,ENE,Address173 Part:,RL 173
,,"STRUCTURE=MANHOLE COVER, VOLTAGE=16.3, GROUND=STREETSIGN, MSPLATE=37BO, HARMONIC=7.9, V NON-SHUNT=89.2, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 03:31:59.849933,EB97789355: Comment: EXPECTED ASPHALT GOT SIDEWALK
3,2022_04_23 06:05:52.649933,EB97789355: Comment: BFS REQUIRED ON SITE
4,2022_04_23 08:49:01.649933,EB97789355: Comment: 2% HARMONICS
5,2022_04_23 11:29:01.049933,EB97789355: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
6,2022_04_23 13:59:37.049933,EB97789355: Comment: FLUSH NEEDED
7,2022_04_23 14:42:52.049933,EB97789355: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 16:34:27.449933,"EB97789355: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
9,2022_04_23 18:15:34.649933,EB97789355: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
10,2022_04_23 20:01:07.049933,EB97789355: Comment: SERVICE VEHICLE REQUESTED
11,2022_04_23 20:13:57.449933,EB97789355: Comment: ELECTRICIAN RELEASED AT 3:48HRS
