Line,Time,Remark
1,2022_04_22 20:51:57.435827,TM11067296,ENE,Address150 Part:,RL 150
,,"STRUCTURE=DIRT, VOLTAGE=34.5, GROUND=OFTAL FENCE, MSPLATE=82VZ, HARMONIC=17.6, V NON-SHUNT=16.6, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:30:13.035827,TM11067296: Comment: CONTACT S&R
3,2022_04_23 00:21:14.235827,TM11067296: Comment: ELECTRICIAN RELEASED AT 1:28HRS
4,2022_04_23 02:17:55.635827,TM11067296: Comment: 7.1 VOLTS REMAINING
5,2022_04_23 03:07:09.435827,TM11067296: Comment: CREW NOTIFIED
6,2022_04_23 04:00:23.835827,TM11067296: Comment: ADDITIONAL ASSISTANCE NEEDED
7,2022_04_23 04:20:05.235827,"TM11067296: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
8,2022_04_23 06:39:55.035827,TM11067296: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
9,2022_04_23 08:09:04.035827,TM11067296: Comment: 8.9 VOLTS
10,2022_04_23 09:16:08.835827,"TM11067296: Comment: SURVEY CONDUCTED, REPORTS 47BQ"
11,2022_04_23 09:32:38.835827,TM11067296: Comment: SERVICE VEHICLE REQUESTED
12,2022_04_23 12:24:34.635827,TM11067296: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
13,2022_04_23 14:29:11.835827,TM11067296: Comment: EXPECTED TRAFFIC LIGHT GOT SCAFFOLDING
14,2022_04_23 17:12:50.235827,TM11067296: Comment: LOAD TEST SUCCEEDED AT 1:42HRS
