Line,Time,Remark
1,2022_04_22 15:17:18.429718,EB69086508,ENE,Address142 Part:,TM 142
,,"STRUCTURE=STREET LIGHT, VOLTAGE=83.2, GROUND=OFTAL FENCE, MSPLATE=68K, HARMONIC=25.2, V NON-SHUNT=41.5, STATUS=CREW WAITING"
2,2022_04_22 16:46:16.629718,EB69086508: Comment: BFS REQUIRED ON SITE
3,2022_04_22 17:32:07.629718,EB69086508: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_22 17:49:33.429718,EB69086508: Comment: CREW NOTIFIED
5,2022_04_22 18:23:59.829718,EB69086508: Comment: 32.2 VOLTS
6,2022_04_22 18:50:34.029718,EB69086508: Comment: LOAD TEST SUCCEEDED AT 12:11HRS
7,2022_04_22 21:50:02.229718,EB69086508: Comment: FROM 85QK TO 73V
8,2022_04_22 22:07:07.629718,EB69086508: Comment: 3.1 VOLTS REMAINING
9,2022_04_22 23:04:37.029718,EB69086508: Comment: EXPECTED SERVICE BOX GOT DIRT
10,2022_04_22 23:44:58.629718,EB69086508: Comment: CONTACT S&R
11,2022_04_23 01:35:11.229718,"EB69086508: Comment: SURVEY CONDUCTED, REPORTS 53BQ"
