Line,Time,Remark
1,2022_04_23 01:51:32.735286,TM88078056,ENE,Address5 Part:,RL 5
,,"STRUCTURE=GAS CAP, VOLTAGE=16.4, GROUND=STREETSIGN, MSPLATE=78KB, HARMONIC=10.8, V NON-SHUNT=63.3, STATUS=PASSIVE SITE SAFETY"
2,2022_04_23 02:27:36.335286,TM88078056: Comment: ADDITIONAL ASSISTANCE NEEDED
3,2022_04_23 04:53:42.335286,"TM88078056: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
4,2022_04_23 06:13:39.335286,TM88078056: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
5,2022_04_23 07:16:50.735286,TM88078056: Comment: CREW NOTIFIED
6,2022_04_23 08:47:27.935286,"TM88078056: Comment: SURVEY CONDUCTED, REPORTS 75BQ"
7,2022_04_23 10:11:49.535286,TM88078056: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
8,2022_04_23 11:24:02.735286,TM88078056: Comment: CONTACT S&R
9,2022_04_23 12:01:28.535286,TM88078056: Comment: FLUSH NEEDED
10,2022_04_23 13:26:09.935286,TM88078056: Comment: 1.0 VOLTS REMAINING
11,2022_04_23 14:13:24.335286,TM88078056: Comment: EXPECTED TRAFFIC LIGHT GOT ASPHALT
