Line,Time,Remark
1,2022_04_22 12:49:29.840825,TM22161763,ENE,Address158 Part:,HD 158
,,"STRUCTURE=SIDEWALK, VOLTAGE=56.8, GROUND=OFTAL FENCE, MSPLATE=54TZ, HARMONIC=23.3, V NON-SHUNT=17.5, STATUS=CREW WAITING"
2,2022_04_22 14:18:02.840825,TM22161763: Comment: FLUSH NEEDED
3,2022_04_22 15:27:20.240825,TM22161763: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
4,2022_04_22 16:21:47.840825,TM22161763: Comment: ELECTRICIAN RELEASED AT 2:28HRS
5,2022_04_22 18:18:49.640825,TM22161763: Comment: CREW NOTIFIED
6,2022_04_22 21:11:20.840825,TM22161763: Comment: 8.4 VOLTS REMAINING
7,2022_04_22 22:29:02.840825,TM22161763: Comment: SERVICE VEHICLE REQUESTED
8,2022_04_23 01:20:57.440825,TM22161763: Comment: 8.5 VOLTS
9,2022_04_23 03:06:58.040825,"TM22161763: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 4PM"
10,2022_04_23 04:10:05.240825,TM22161763: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
11,2022_04_23 05:56:23.240825,TM22161763: Comment: LOAD TEST SUCCEEDED AT 7:27HRS
12,2022_04_23 06:54:53.240825,TM22161763: Comment: 39% HARMONICS
13,2022_04_23 08:04:22.640825,TM22161763: Comment: BFS REQUIRED ON SITE
