Line,Time,Remark
1,2022_04_22 21:21:01.632826,RL16566353,ENE,Address147 Part:,HD 147
,,"STRUCTURE=DIRT, VOLTAGE=31.4, GROUND=HYDRANT, MSPLATE=64LP, HARMONIC=22.3, V NON-SHUNT=15.9, STATUS=PASSIVE SITE SAFETY"
2,2022_04_22 23:31:47.232826,RL16566353: Comment: 7.8 VOLTS REMAINING
3,2022_04_23 00:33:19.032826,RL16566353: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
4,2022_04_23 03:01:06.432826,RL16566353: Comment: FROM 45MP TO 81F
5,2022_04_23 04:18:46.032826,RL16566353: Comment: EXPECTED DIRT GOT ASPHALT
6,2022_04_23 05:30:38.232826,RL16566353: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 05:58:28.632826,RL16566353: Comment: ADDITIONAL ASSISTANCE NEEDED
8,2022_04_23 07:50:44.832826,"RL16566353: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 6PM"
9,2022_04_23 10:08:25.032826,RL16566353: Comment: 20.1 VOLTS
10,2022_04_23 12:10:02.832826,RL16566353: Comment: BFS REQUIRED ON SITE
11,2022_04_23 14:40:40.032826,"RL16566353: Comment: SURVEY CONDUCTED, REPORTS 40BQ"
12,2022_04_23 14:51:03.432826,RL16566353: Comment: ELECTRICIAN RELEASED AT 6:53HRS
13,2022_04_23 15:50:01.632826,RL16566353: Comment: LOAD TEST SUCCEEDED AT 10:19HRS
14,2022_04_23 16:54:18.432826,RL16566353: Comment: FLUSH NEEDED
