Line,Time,Remark
1,2022_04_23 01:27:20.775376,EB18642002,ENE,Address61 Part:,EB 61
,,"STRUCTURE=SIDEWALK, VOLTAGE=71.3, GROUND=STREETSIGN, MSPLATE=05IO, HARMONIC=18.9, V NON-SHUNT=76.2, STATUS=CREW WAITING"
2,2022_04_23 03:23:31.575376,EB18642002: Comment: CONTACT S&R
3,2022_04_23 04:08:42.375376,EB18642002: Comment: ELECTRICIAN RELEASED AT 9:25HRS
4,2022_04_23 06:43:08.175376,EB18642002: Comment: BFS REQUIRED ON SITE
5,2022_04_23 07:46:59.775376,EB18642002: Comment: CREW NOTIFIED
6,2022_04_23 08:24:32.175376,EB18642002: Comment: MAINTENANCE PERSON REQUIRED TO SHUT BREAKER OFF
7,2022_04_23 11:06:02.775376,EB18642002: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
8,2022_04_23 13:50:16.575376,EB18642002: Comment: 13% HARMONICS
9,2022_04_23 16:09:45.375376,EB18642002: Comment: 4.6 VOLTS REMAINING
10,2022_04_23 19:00:11.175376,"EB18642002: Comment: SURVEY CONDUCTED, REPORTS 59BQ"
