Line,Time,Remark
1,2022_04_22 20:33:44.264635,HD77113965,ENE,Address195 Part:,HD 195
,,"STRUCTURE=ROLLDOWN GATE, VOLTAGE=11.1, GROUND=HDTAL CURB, MSPLATE=82B, HARMONIC=0.7, V NON-SHUNT=5.4, STATUS=CREW WAITING"
2,2022_04_22 21:01:38.864635,HD77113965: Comment: 35% HARMONICS
3,2022_04_22 23:25:21.464635,HD77113965: Comment: EXPECTED ASPHALT GOT GAS CAP
4,2022_04_23 00:58:59.264635,HD77113965: Comment: BFS REQUIRED ON SITE
5,2022_04_23 02:32:47.264635,HD77113965: Comment: ELECTRICIAN RELEASED AT 10:47HRS
6,2022_04_23 03:39:32.864635,HD77113965: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
7,2022_04_23 04:27:49.064635,"HD77113965: Comment: SURVEY CONDUCTED, REPORTS 62BQ"
8,2022_04_23 05:23:42.464635,HD77113965: Comment: ADDITIONAL ASSISTANCE NEEDED
9,2022_04_23 06:46:31.064635,HD77113965: Comment: 54.0 VOLTS
10,2022_04_23 07:49:56.864635,HD77113965: Comment: 9.5 VOLTS REMAINING
11,2022_04_23 09:44:47.264635,"HD77113965: Comment: INFORHDD I&A, CREW WILL EB ON LOCATION UNTIL 8PM"
