Line,Time,Remark
1,2022_04_22 23:16:12.996374,HD86014604,ENE,Address90 Part:,RL 90
,,"STRUCTURE=ASPHALT, VOLTAGE=51.5, GROUND=STREETSIGN, MSPLATE=17U, HARMONIC=14.2, V NON-SHUNT=60.3, STATUS=CREW WAITING"
2,2022_04_23 01:19:06.396374,HD86014604: Comment: FLUSH NEEDED
3,2022_04_23 03:35:18.996374,HD86014604: Comment: 24.7 VOLTS
4,2022_04_23 04:01:18.396374,"HD86014604: Comment: INFOROFD I&A, CREW WILL EB ON LOCATION UNTIL 7PM"
5,2022_04_23 04:59:35.196374,HD86014604: Comment: LOAD TEST SUCCEEDED AT 11:14HRS
6,2022_04_23 06:04:31.596374,HD86014604: Comment: CONTACT S&R
7,2022_04_23 06:17:10.596374,HD86014604: Comment: 4.1 VOLTS REMAINING
8,2022_04_23 09:05:22.596374,HD86014604: Comment: I&A WILL NOTIFY IF CREW IS AVAILABLE
9,2022_04_23 09:30:26.196374,HD86014604: Comment: ADDITIONAL ASSISTANCE NEEDED
10,2022_04_23 10:34:39.396374,HD86014604: Comment: CREW REPORTS VEHICLE NEEDS TO EB MOVED
11,2022_04_23 12:27:19.596374,HD86014604: Comment: CREW NOTIFIED
12,2022_04_23 15:00:55.596374,HD86014604: Comment: FROM 44X TO 39NF
